#id redshift distance galex.FUV galex.FUV_err galex.NUV galex.NUV_err sloan.sdss.u sloan.sdss.u_err sloan.sdss.g sloan.sdss.g_err sloan.sdss.r sloan.sdss.r_err sloan.sdss.i sloan.sdss.i_err sloan.sdss.z sloan.sdss.z_err 2mass.J 2mass.J_err 2mass.H 2mass.H_err 2mass.Ks 2mass.Ks_err wise.W1 wise.W1_err wise.W2 wise.W2_err wise.W3 wise.W3_err wise.W4 wise.W4_err spitzer.irac.I1 spitzer.irac.I1_err spitzer.irac.I2 spitzer.irac.I2_err spitzer.irac.I3 spitzer.irac.I3_err spitzer.irac.I4 spitzer.irac.I4_err spitzer.mips.24mu spitzer.mips.24mu_err spitzer.mips.70mu spitzer.mips.70mu_err spitzer.mips.160mu spitzer.mips.160mu_err herschel.pacs.blue herschel.pacs.blue_err herschel.pacs.green herschel.pacs.green_err herschel.pacs.red herschel.pacs.red_err herschel.spire.PSW herschel.spire.PSW_err herschel.spire.PMW herschel.spire.PMW_err herschel.spire.PLW herschel.spire.PLW_err
NGC0584 0 19.95263191 0.620234082816 0.0887556266088999 2.07356470212 0.142392024872 35.421674244 3.02621058873 171.536679132 1.73911983459 339.973109704 3.7978948659 490.6976437 6.34721937427 607.2424046169999 6.88277507411 975.329327066 33.1446705643 1146.2337512 70.3051140165 811.7275001510001 36.2578155549 403.613053104 12.5577017216 208.154007393 8.888274578039999 97.4543630278 11.0698921524 21.477736419400003 32.9678140784 NaN NaN NaN NaN NaN NaN NaN NaN 88.4509616263 15.2727668513 NaN NaN NaN NaN 6135.73861161 1432.48959908 5691.21733286 1890.06275981 2893.12645523 916.770993106 783.376931425 365.780968599 353.564684429 294.936518571 102.643637381 109.527805648
NGC0586 0 24.93173129 0.231760341509 0.0285809916069 0.509059212112 0.0540902586425 3.92603960904 1.50973171251 15.1392037091 0.316272035455 29.187344895600003 0.5940528073929999 41.518222413 1.13862523517 52.056089024200006 2.5821598079 74.7193177361 6.7388386273 104.850176764 25.6001959019 67.9407748768 16.460323139 34.8654185927 1.45294391199 19.2384690674 1.6646027648 28.6973456306 3.40321506588 36.9323313231 7.07812095428 NaN NaN NaN NaN NaN NaN NaN NaN 28.5537438096 6.38555190204 NaN NaN NaN NaN 505.93567834 812.561029568 837.13108766 516.396852332 1596.12330131 199.816540738 933.594589222 112.204361566 430.023547064 83.5706524232 143.357722642 44.7620266656
NGC0678 0 27.87 0.543844414589 0.790122171219 0.8625535329499999 0.16282678954 4.24848474468 5.8900892647 37.5897273751 2.04148472419 85.4787118158 3.12308885388 132.932575133 5.21086947764 179.42151173000002 7.03741444436 274.943768071 13.6789669693 309.710684542 68.5941114232 313.783516712 53.874529355 135.551984253 4.60099888665 74.29979035379999 3.61625415603 82.3267066181 9.64750554173 77.0020179425 14.0709708121 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1223.8556647100002 287.97441062 3233.41325582 337.464977875 2164.55866535 303.439767742 1012.79626869 168.511282444 293.963453485 99.4568502838
NGC0855 0 9.638294808 1.43853393891 0.0776120677355999 2.96312625028 0.118232584939 10.9610624151 2.83949166851 32.9870620982 1.69683650253 53.8241832777 1.2563815813 69.5054189049 2.31609579428 79.71926056059999 4.7429716562 98.284175031 16.9469282759 148.865706539 83.4801271696 111.307317707 33.6257122992 44.2287114283 2.4703039573 23.6125260359 3.00336225699 39.3150237083 5.94188562993 107.509791393 14.6381277304 44.5030094494 1.84607960003 29.681669479 1.16953361737 34.8129891156 4.78146138969 46.9723027899 1.7564858529 82.3800959654 6.01586435044 NaN NaN NaN NaN 1862.54174206 373.114377382 2728.88616282 678.631371155 2102.08465542 469.056795434 1095.84075454 229.814846504 473.828801652 119.802496591 147.40654695700002 75.2170070214
PGC008962 0 30.50245767 0.635989724454 0.0356767665006 0.807483172896 0.0420698825095 0.994889114224 0.2607755279879999 2.8182148659 0.270133099193 3.47584038151 0.449995391272 3.85622251319 1.0667655402899998 3.67225384434 1.80884714976 4.729341451 6.40678045298 6.24792953667 16.2834256839 10.6294607305 11.1714311611 1.94180334071 0.8523766264939999 0.34546113123 1.08017355057 6.564540309530001 5.7325768027 -1.01484245929 7.24437764496 3.8402317463 1.4070291794999998 2.63613310143 1.2220021840400002 4.210581930689999 2.72985192566 1.38619797296 1.26233311696 4.96056164831 2.59858347398 6.253808037490001 27.9393583268 80.1207953227 75.8573736088 NaN NaN NaN NaN 45.8641913101 397.613790859 64.4338659612 93.8694855167 30.5775731096 69.2974803421 -0.249727516373 44.8592236372
NGC0895 0 35.31834428 7.97601577753 0.3600556738479999 11.0779572731 0.304727260329 24.2023343857 4.03052433261 62.58298715379999 1.43703132873 93.0931191106 1.42075036894 116.09269288 4.6073846586 129.430042494 3.93836331699 187.8597284 27.7407005929 335.391089873 112.366132145 209.207351311 41.9026171423 77.21753551660001 2.94860278104 42.4615417207 1.86470709962 186.789049525 9.405040537980002 229.799957486 17.0887336294 82.1817553212 3.53218170587 56.9318162016 2.4887091639800003 88.6626907086 7.96371287613 215.345059646 7.62640288421 183.575994241 11.5858261729 1779.01888542 183.704636633 10368.5912874 1260.40077969 NaN NaN 7092.5995111600005 1261.84714493 10428.6012236 1228.6405629699998 6253.73362422 395.494319991 3173.13933228 220.374067107 1318.5434365 125.751241508
NGC1189 0 33.60185691 1.29823207472 0.0702905648434 1.65309950187 0.0661444509655 1.40573382645 3.75993625324 12.359115752 9.35352406654 17.6321612333 8.43698118297 20.3454646779 10.2011971503 -1.89255596987 31.9439638862 0.27073466631 9.74294763551 -16.2972023896 34.006169124500005 -13.1344717514 13.826471854 15.531686079 0.986049975727 7.960439621350001 1.7558371165000002 20.4871329671 7.85122484644 13.9253766367 10.4974029782 NaN NaN 10.2780732925 1.07815034849 16.4490996677 5.18657128362 22.4364658211 3.32431476498 5.44340056378 30.593867629 NaN NaN NaN NaN -311.142011364 747.613359408 NaN NaN 700.223245943 680.732518467 934.685577779 165.069474686 569.300166521 100.870849077 277.207542694 61.4393687203
IC2233 0 13.99587028 6.2666418442100005 0.294770948812 7.850368600359999 0.220213126687 15.6901283208 1.14261965105 31.8759207705 0.901451284304 44.1808453679 1.84252443841 65.2445580994 3.73767096337 52.3006199538 10.3493982616 68.1825327826 17.6381679119 50.40815651250001 38.982422142 68.2233096439 24.355428835 33.16463577179999 2.53717755592 21.1452864058 3.94384511496 15.7588657436 11.360907125 10.8222618395 17.9225495705 28.3137660595 1.21211697941 20.6409247876 0.976009899216 14.653885528499998 1.28035907266 20.5036074593 1.91915181914 38.8809057437 3.47542764068 NaN NaN NaN NaN NaN NaN 2121.9826835900003 374.612015291 1451.3523168 429.711682226 918.68274478 384.630178521 506.063925453 202.170860675 263.030510862 135.923475357
NGC2685 0 13.27 2.2358329001 0.115650212204 3.38959416732 0.131887906092 22.1411557051 1.51222134441 80.7784767033 2.06688670236 152.865972266 2.32845128203 224.811494799 4.14362530139 258.62962548 6.66208392316 339.045983625 17.9214087193 386.632552656 39.7886008094 325.198382454 38.2832297331 159.370998855 4.94166472479 94.6217731983 4.45250562378 157.95468527199998 11.08787735 112.381125262 17.8945187667 154.734449005 4.97735102596 94.9965656865 3.2477991389 NaN NaN 137.80361594599998 6.83577701829 NaN NaN NaN NaN NaN NaN NaN NaN 1459.44344124 633.214316887 4488.66210744 955.671740119 3385.99149287 392.592730676 1614.59423778 257.814015174 575.954845168 77.5022856622
UGC04684 0 37.77990169 1.8419118341 0.083087462706 2.57883752601 0.0706007184131 3.69109779202 0.17581449199 9.44124175726 0.182204705337 13.6713390005 0.2391765565449999 18.108463655 0.492316272948 13.1630447255 1.29031164311 10.5115958127 2.1710689429300003 9.10689359205 3.87087978727 6.82389019121 3.67701073185 22.0119429771 0.783846318186 12.7164408468 0.62800607786 14.0846301656 1.26793377929 25.2303650451 3.66810043271 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1115.8277162000002 154.03590569 1045.00532539 132.376388698 633.037123196 51.5684942086 341.660027328 34.5824678057 158.52806958999997 31.6342386539
